id,building,condition,ownership,floor,area,energy_type,elevator,parking,barrierless,price,equipped,closest_transport_distance,closest_shop_distance,metro_distance,train_distance,restaurant_distance,distance_to_centre,balcony,cellar
496392012,Panelová,Velmi dobrý,Osobní,5,30,,True,,True,2855000,,186.0,172.0,2515.0,6956,377,4.61367987541472,,True
2861070156,Cihlová,Po rekonstrukci,Osobní,p,43,G,,,,6634000,Částečně,172.0,420.0,462.0,298,206,1.8690329711256957,,True
2160838476,Panelová,Velmi dobrý,Osobní,7,25,C,True,,False,2915000,,155.0,198.0,3095.0,1917,194,7.360987073364351,,True
1949833036,Cihlová,Před rekonstrukcí,Osobní,3,30,D,,,,2849000,,40.0,180.0,55.0,223,195,3.048201467268463,,
919796060,Smíšená,Ve výstavbě,Osobní,3,28,B,True,,True,4253000,,197.0,130.0,2935.0,843,163,10.006951234272963,,True
4275427676,Cihlová,Velmi dobrý,Osobní,2,32,B,True,,True,3911000,True,61.0,41.0,1991.0,2598,382,8.433211075956189,,True
478057548,Smíšená,Novostavba,Osobní,5,47,G,True,,,7239000,,232.0,262.0,1291.0,3125,778,4.675421356835023,True,
2534045260,Smíšená,Velmi dobrý,Osobní,1,81,C,True,True,True,4449000,Částečně,98.0,274.0,,2028,759,15.02396564589087,,True
4108667228,Smíšená,Velmi dobrý,Osobní,5,43,G,True,,True,4051000,False,151.0,151.0,4824.0,1253,147,10.38091956011713,True,
1416853852,Cihlová,Velmi dobrý,Osobní,p,38,G,True,1,False,3928000,Částečně,106.0,39.0,2871.0,723,107,10.267099374952911,True,True
464053324,Cihlová,Velmi dobrý,Osobní,1,29,E,False,,True,3436000,False,32.0,102.0,1828.0,1447,287,6.374491552656504,,True
1608184908,Panelová,Po rekonstrukci,Družstevní,6,29,C,True,,,2982000,False,183.0,248.0,,762,343,11.21977872620753,True,True
424819036,Cihlová,Ve výstavbě,Osobní,2,29,,,1,,5022000,,62.0,516.0,1447.0,1526,1,4.58109062895343,,True
3159631964,Smíšená,Ve výstavbě,Osobní,6,33,B,,1,,4549000,,404.0,339.0,988.0,1274,832,8.06161509125313,True,True
3868072028,Smíšená,Ve výstavbě,Osobní,6,32,B,,1,,6293000,,96.0,156.0,3247.0,875,447,11.043603523225839,True,True
184178252,Cihlová,Velmi dobrý,Osobní,1,34,C,True,True,,5551000,,147.0,359.0,2114.0,1455,213,7.746677349070063,True,
3660350540,Cihlová,Velmi dobrý,Osobní,6,39,,,,False,5306000,,70.0,342.0,1039.0,1350,102,3.4794246431081746,,
79325004,Cihlová,Dobrý,Osobní,1,27,E,True,,False,3314000,Částečně,176.0,234.0,1790.0,547,292,3.633735647764319,,
2550540108,Cihlová,Velmi dobrý,Osobní,2,34,B,True,,False,3852000,Částečně,74.0,39.0,1050.0,1054,526,4.126294606876524,,True
1282397772,Cihlová,Novostavba,Osobní,3,60,C,True,True,True,9284000,,122.0,349.0,758.0,1772,462,2.2646061859875384,True,True
454591564,Cihlová,Novostavba,Osobní,3,21,C,True,,,3652000,,287.0,337.0,3817.0,1923,468,6.9545594308458,,
320686428,Skeletová,Velmi dobrý,Osobní,4,43,B,True,,,5306000,Částečně,152.0,139.0,185.0,2597,176,9.491292922715283,True,
178067548,Smíšená,Ve výstavbě,Osobní,6,32,B,,1,,6287000,,96.0,156.0,3247.0,875,447,11.043603523225839,,True
2560460620,Skeletová,Velmi dobrý,Osobní,4,34,C,True,,,3971000,Částečně,243.0,60.0,4690.0,1119,57,10.290427212014293,True,
865290332,Cihlová,Novostavba,Osobní,2,41,B,True,,True,4865000,False,81.0,382.0,3320.0,2814,316,9.677747744908944,True,
101229644,Cihlová,Novostavba,Osobní,4,32,B,True,,,4067000,False,221.0,124.0,2834.0,2674,584,8.227007006264587,,True
1592464972,Cihlová,Novostavba,Osobní,3,32,B,True,1,False,6066000,False,71.0,110.0,260.0,2440,218,4.16168902526435,True,True
1941210700,Panelová,Velmi dobrý,Osobní,3,36,C,True,,,3586000,False,57.0,372.0,2059.0,1417,330,7.620131696933409,True,True
2587498060,Cihlová,Novostavba,Osobní,2,51,B,True,,,4482000,False,239.0,730.0,6195.0,950,359,8.762783457569393,True,True
3257600348,Smíšená,Ve výstavbě,Osobní,3,37,B,,1,,5506000,,96.0,156.0,3247.0,875,447,8.870452276434287,True,
4097029196,Cihlová,Velmi dobrý,Osobní,3,41,B,True,,,5512000,Částečně,229.0,290.0,1075.0,1891,702,7.575943150612485,True,True
2693329996,Cihlová,Novostavba,Osobní,1,49,C,False,,False,4981000,True,245.0,78.0,712.0,1898,368,10.335941889320683,,
49669196,Panelová,Velmi dobrý,Osobní,1,29,,True,,False,3287000,,227.0,134.0,268.0,2351,315,8.232721788589187,,True
2301146188,Cihlová,Velmi dobrý,Družstevní,5,39,G,True,,,4177000,Částečně,133.0,158.0,424.0,1655,44,2.2923074339483493,,
273708876,Cihlová,Po rekonstrukci,Osobní,4,19,C,True,,,4045000,,181.0,429.0,1092.0,755,382,3.0326936697718723,,
883177292,Cihlová,Ve výstavbě,Osobní,1,33,B,True,,False,4917000,,253.0,329.0,4682.0,3696,557,9.377654912913115,True,True
1191225164,Panelová,Po rekonstrukci,Osobní,4,41,B,True,,True,3579000,,115.0,125.0,3603.0,850,158,9.822779907244051,True,True
382006348,Cihlová,Velmi dobrý,Osobní,5,36,G,False,,,3314000,False,205.0,250.0,349.0,1698,194,5.14255331224985,,
1714276700,Panelová,Po rekonstrukci,Osobní,2,32,C,True,True,,3949000,,198.0,323.0,1971.0,2970,294,7.655325956503914,,
3663627340,Cihlová,Po rekonstrukci,Osobní,6,33,G,,,,5778000,False,137.0,581.0,1475.0,959,71,3.493901474520457,,
2112669516,Smíšená,Novostavba,Osobní,3,41,B,True,,,6271000,False,35.0,57.0,181.0,2365,70,4.209081477480241,True,True
3680822348,Skeletová,Ve výstavbě,Osobní,2,45,B,True,1,False,5680000,False,132.0,313.0,3023.0,308,433,10.169190882044507,True,True
3623913292,Panelová,Velmi dobrý,Osobní,1,60,G,True,1,,6076000,,115.0,34.0,330.0,1907,26,6.808406667848844,True,
2599515724,Smíšená,Ve výstavbě,Osobní,2,38,B,True,True,,7830000,False,65.0,100.0,759.0,614,757,3.3060484158947605,,True
1708193356,Panelová,Velmi dobrý,Osobní,2,27,C,,,,3519000,Částečně,215.0,64.0,819.0,1347,327,9.782271757533282,True,
3142166348,Cihlová,Velmi dobrý,Osobní,4,46,C,True,,,5638000,False,211.0,265.0,2131.0,2230,259,9.095871506848784,,
4141984092,Cihlová,Novostavba,Osobní,5,34,G,True,,,6271000,,97.0,372.0,371.0,917,91,1.5990295598000264,,
215357260,Cihlová,Velmi dobrý,Osobní,5,39,E,True,True,,4579000,,62.0,206.0,830.0,1093,97,3.71417587320878,,
2573112908,Cihlová,Novostavba,Osobní,2,34,G,True,,False,3918000,Částečně,119.0,214.0,,853,281,13.65052879505607,True,True
3013796940,Panelová,Dobrý,Osobní,5,29,C,,,,3121000,False,185.0,136.0,2019.0,2541,506,8.956204580397754,,
404468812,Skeletová,Novostavba,Osobní,2,38,C,True,,True,4509000,,142.0,36.0,1181.0,715,208,6.546308044145434,True,
2230323548,Smíšená,Novostavba,Osobní,2,44,G,True,True,,5346000,False,204.0,611.0,5446.0,3895,1010,8.762783457569393,True,True
3523704652,Smíšená,Ve výstavbě,Osobní,8,33,B,,,,6097000,,182.0,24.0,230.0,2383,19,9.128377395615127,True,
1483204172,Skeletová,Ve výstavbě,Osobní,1,33,A,True,,True,4385000,,36.0,306.0,262.0,732,76,6.793308131905815,True,
2869176412,Smíšená,Ve výstavbě,Osobní,5,33,B,,1,,4603000,,404.0,339.0,988.0,1274,832,8.057132006898247,True,True
3538281548,Cihlová,Velmi dobrý,Osobní,4,43,G,True,,,4841000,True,147.0,265.0,2215.0,1773,1694,10.871229356746909,True,
3626309724,Cihlová,Velmi dobrý,Osobní,4,43,D,False,,,8567000,Částečně,181.0,245.0,896.0,1927,82,1.3794472302122747,,
1791646044,Smíšená,Velmi dobrý,Osobní,4,35,D,,True,False,3845000,,130.0,159.0,264.0,1162,252,5.460232864326661,,True
2323031116,Cihlová,Velmi dobrý,Osobní,1,34,C,True,True,True,4708000,Částečně,169.0,505.0,983.0,1316,740,9.025830402940192,,True
535316828,Cihlová,Ve výstavbě,Osobní,3,31,B,True,,,4283000,,167.0,91.0,2613.0,1032,184,8.565185578659582,,
1552480076,Cihlová,Dobrý,Osobní,-,25,,False,,False,1527000,,98.0,492.0,1430.0,1102,112,4.148300364644327,,
3151623244,Panelová,Velmi dobrý,Osobní,4,29,C,True,,,3320000,,38.0,67.0,1442.0,1010,147,3.8161538015370713,True,
3759613772,Panelová,Po rekonstrukci,Osobní,4,27,C,True,,,3314000,True,271.0,360.0,413.0,4089,399,9.849565914950073,,True
484910668,Cihlová,Dobrý,Osobní,2,23,G,False,,,3845000,,148.0,253.0,621.0,1047,86,2.383294865321493,,
2424003420,Smíšená,Ve výstavbě,Osobní,7,32,B,,1,,4604000,,404.0,339.0,988.0,1274,832,8.06161509125313,True,True
3530905420,Panelová,Dobrý,Osobní,3,29,C,True,,,2523000,,163.0,45.0,933.0,2290,564,10.680608108165591,,True
3999078492,Smíšená,Ve výstavbě,Osobní,5,32,B,,1,,5526000,,96.0,156.0,3247.0,875,447,11.043603523225839,True,True
3909855052,Panelová,Dobrý,Osobní,1,26,,False,,,3048000,True,253.0,165.0,3170.0,1992,228,7.209474474014084,True,True
4227376204,Cihlová,Velmi dobrý,Osobní,2,33,,True,,True,3652000,True,145.0,226.0,867.0,1424,311,3.4310150746985006,True,True
3852919884,Panelová,Před rekonstrukcí,Osobní,5,35,G,False,,,3181000,,29.0,424.0,444.0,1423,248,5.3096985031650945,True,True
434820940,Cihlová,Velmi dobrý,Osobní,5,34,,True,True,False,7239000,True,94.0,104.0,309.0,1539,78,2.0369522200992765,,True
2429376332,Cihlová,Po rekonstrukci,Osobní,6,37,D,True,,,5578000,True,37.0,145.0,984.0,1158,187,3.6812385558873424,,True
2446370636,Smíšená,Velmi dobrý,Osobní,3,32,G,,,,4735000,Částečně,267.0,451.0,1345.0,474,376,2.8382699708349497,,
2062625116,Cihlová,Velmi dobrý,Družstevní,3,32,G,True,,,4642000,,99.0,96.0,1240.0,2527,111,3.370137807375164,,
2652821324,Cihlová,Po rekonstrukci,Osobní,5,21,G,True,,False,4840000,,56.0,97.0,258.0,695,18,0.5406722415825427,,
339434332,Smíšená,Ve výstavbě,Osobní,9,33,B,,1,,5046000,,404.0,339.0,988.0,1274,832,8.06161509125313,True,True
1288444252,Smíšená,Ve výstavbě,Osobní,2,31,B,,1,,5720000,,96.0,156.0,3247.0,875,447,8.870452276434287,,
